device_eui;tijdstip;verbruik
7CC6C40800001265;2022110807;451
7CC6C40800001265;2022110808;467
7CC6C40800001265;2022110809;494
7CC6C40800001265;2022110810;749
7CC6C40800001265;2022110811;738
7CC6C40800001265;2022110812;745
7CC6C40800001265;2022110813;739
7CC6C40800001265;2022110814;780
7CC6C40800001265;2022110815;854
7CC6C40800001265;2022110816;747
7CC6C40800001265;2022110817;727
7CC6C40800001265;2022110818;756
7CC6C40800001265;2022110819;736
7CC6C40800001265;2022110820;723
7CC6C40800001265;2022110821;714
7CC6C40800001265;2022110822;721
7CC6C40800001265;2022110823;625
7CC6C40800001265;2022110900;447
7CC6C40800001265;2022110901;448
7CC6C40800001265;2022110902;447
7CC6C40800001265;2022110903;439
7CC6C40800001265;2022110904;442
7CC6C40800001265;2022110905;449
7CC6C40800001265;2022110906;486
7CC6C40800001265;2022110907;444
7CC6C40800001265;2022110908;453
7CC6C40800001265;2022110909;359
7CC6C40800001265;2022110910;6
7CC6C40800001265;2022110911;5
7CC6C40800001265;2022110912;5
7CC6C40800001265;2022110913;6
7CC6C40800001265;2022110914;5
7CC6C40800001265;2022110915;5
7CC6C40800001265;2022110916;6
7CC6C40800001265;2022110917;231
7CC6C40800001265;2022110918;729
7CC6C40800001265;2022110919;743
7CC6C40800001265;2022110920;704
7CC6C40800001265;2022110921;607
7CC6C40800001265;2022110922;586
7CC6C40800001265;2022110923;586
7CC6C40800001265;2022111000;528
7CC6C40800001265;2022111001;471
7CC6C40800001265;2022111002;470
7CC6C40800001265;2022111003;466
7CC6C40800001265;2022111004;455
7CC6C40800001265;2022111005;464
7CC6C40800001265;2022111006;354
7CC6C40800001265;2022111007;426
7CC6C40800001265;2022111008;351
7CC6C40800001265;2022111009;459
7CC6C40800001265;2022111010;441
7CC6C40800001265;2022111011;469
7CC6C40800001265;2022111012;531
7CC6C40800001265;2022111013;719
7CC6C40800001265;2022111014;704
7CC6C40800001265;2022111015;597
7CC6C40800001265;2022111016;955
7CC6C40800001265;2022111017;738
7CC6C40800001265;2022111018;657
7CC6C40800001265;2022111019;686
7CC6C40800001265;2022111020;706
7CC6C40800001265;2022111021;591
7CC6C40800001265;2022111022;494
7CC6C40800001265;2022111023;468
7CC6C40800001265;2022111100;533
7CC6C40800001265;2022111101;498
7CC6C40800001265;2022111102;455
7CC6C40800001265;2022111103;450
